StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What NCAA Division 1 conference does your women's indoor volleyball team compete within?,What is your MINIMUM number of weeks dedicated towards strength and conditioning preparation you would be comfortable with during this upcoming collegiate women's indoor volleyball in-season period?,What is your OPTIMAL number of weeks dedicated towards strength and conditioning preparation you would ideally prefer during this upcoming collegiate women's indoor volleyball in-season period?,What is your MINIMUM number of sessions per training week dedicated towards strength and conditioning preparation you would be comfortable with during this upcoming collegiate women's indoor volleyball in-season period?,What is your OPTIMAL number of sessions per training week dedicated towards strength and conditioning preparation you would ideally prefer during this upcoming collegiate women's indoor volleyball in-season period?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}"
2020-04-23 17:53:48,2020-04-23 17:55:45,Survey Preview,100,117,True,2020-04-23 17:55:45,R_265yn8SZ5o2rMMh,preview,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,3 Weeks,8+ Weeks,3/Week,5/Week
2020-04-23 19:09:42,2020-04-23 19:10:41,IP Address,100,59,True,2020-04-23 19:10:42,R_2SlzOGBRuwl9uCw,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,4 Weeks,8+ Weeks,4/Week,6/Week
2020-04-23 19:12:54,2020-04-23 19:13:37,IP Address,100,43,True,2020-04-23 19:13:38,R_vicvt5Y068OYUjT,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,3 Weeks,4 Weeks,3/Week,4/Week
2020-04-23 19:25:58,2020-04-23 19:26:59,IP Address,100,60,True,2020-04-23 19:26:59,R_065QiectAhvgyl3,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Missouri Valley,6 Weeks,8+ Weeks,3/Week,3/Week
2020-04-23 19:31:16,2020-04-23 19:33:17,IP Address,100,120,True,2020-04-23 19:33:17,R_3hngGYwVCNEs3Ik,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Southeastern,4 Weeks,6 Weeks,3/Week,5/Week
2020-04-23 19:38:40,2020-04-23 19:39:50,IP Address,100,70,True,2020-04-23 19:39:51,R_8wZHD02eLksWal3,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,6 Weeks,8+ Weeks,3/Week,5/Week
2020-04-24 08:30:18,2020-04-24 08:31:24,IP Address,100,66,True,2020-04-24 08:31:25,R_DC5rvqkanyOU8uJ,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Colonial Athletic Association,4 Weeks,6 Weeks,1/Week,2/Week
2020-04-24 08:36:37,2020-04-24 08:37:16,IP Address,100,39,True,2020-04-24 08:37:16,R_1IxTzHP4jg4AWX4,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Big 12,,,,
2020-04-24 08:36:41,2020-04-24 08:37:48,IP Address,100,67,True,2020-04-24 08:37:48,R_85M8gpdlvB8OUNz,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Missouri Valley,6 Weeks,8+ Weeks,3/Week,5/Week
2020-04-24 08:40:16,2020-04-24 08:41:42,IP Address,100,86,True,2020-04-24 08:41:42,R_1Q6MvXnbLs6WKR6,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,4 Weeks,8+ Weeks,2/Week,4/Week
2020-04-24 08:49:01,2020-04-24 08:50:04,IP Address,100,63,True,2020-04-24 08:50:05,R_1eUEFDXkILmcJz2,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,The Summit League,2 Weeks,4 Weeks,,3/Week
2020-04-24 09:08:20,2020-04-24 09:09:37,IP Address,100,76,True,2020-04-24 09:09:37,R_72OzvFKNWch2dIl,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Big Sky,7 Weeks,8+ Weeks,3/Week,4/Week
2020-04-24 09:35:03,2020-04-24 09:36:55,IP Address,100,111,True,2020-04-24 09:36:55,R_2qyl9spRvxfaGtb,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,3 Weeks,7 Weeks,3/Week,4/Week
2020-04-24 09:41:11,2020-04-24 09:43:56,IP Address,100,165,True,2020-04-24 09:43:56,R_2P5OfUcIEjePUnf,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Atlantic Coast,4 Weeks,6 Weeks,2/Week,3/Week
2020-04-24 09:51:18,2020-04-24 09:52:19,IP Address,100,61,True,2020-04-24 09:52:20,R_XmM8y2cKW91Oaid,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,6 Weeks,8+ Weeks,3/Week,5/Week
2020-04-24 13:04:52,2020-04-24 13:06:19,IP Address,100,86,True,2020-04-24 13:06:19,R_24zWE63he8mazoS,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Western Athletic,4 Weeks,6 Weeks,2/Week,3/Week
2020-04-24 13:37:15,2020-04-24 13:38:38,IP Address,100,83,True,2020-04-24 13:38:39,R_31KqslDIAb8ZOCk,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,,,,
2020-04-24 14:48:27,2020-04-24 14:51:11,IP Address,100,164,True,2020-04-24 14:51:11,R_pmWfcJAzXALSm4x,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,,8+ Weeks,8+ Weeks,6/Week,3/Week
2020-04-24 17:29:42,2020-04-24 17:30:56,IP Address,100,73,True,2020-04-24 17:30:56,R_qzqLCH4eK0FyfWF,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Patriot League,3 Weeks,6 Weeks,3/Week,5/Week
2020-04-24 18:18:18,2020-04-24 18:21:36,IP Address,100,197,True,2020-04-24 18:21:36,R_3GBZa5WUpcxU6R7,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Sunbelt,4 Weeks,5 Weeks,3/Week,4/Week
2020-04-24 22:45:11,2020-04-24 22:45:51,IP Address,100,40,True,2020-04-24 22:45:52,R_2e2NIt1GhSe40qe,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,American Athletic,7 Weeks,6 Weeks,4/Week,4/Week
2020-04-25 08:16:18,2020-04-25 08:17:17,IP Address,100,59,True,2020-04-25 08:17:17,R_1gO6mR9PyL6PIiX,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,ASUN,2 Weeks,4 Weeks,2/Week,4/Week
2020-04-25 11:14:36,2020-04-25 11:15:18,IP Address,100,41,True,2020-04-25 11:15:18,R_XNwJYCM2CCXhNMB,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Big Ten,6 Weeks,8+ Weeks,3/Week,3/Week
2020-04-25 12:14:45,2020-04-25 12:15:43,IP Address,100,58,True,2020-04-25 12:15:44,R_3fNobmDeg4VhGkD,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Western Athletic,2 Weeks,6 Weeks,4/Week,6/Week
2020-04-25 12:32:29,2020-04-25 12:35:37,IP Address,100,187,True,2020-04-25 12:35:37,R_3OkWVB4Fq9l9TRp,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Other,8+ Weeks,8+ Weeks,2/Week,2/Week
2020-04-26 09:05:05,2020-04-26 09:06:00,IP Address,100,54,True,2020-04-26 09:06:00,R_bC564KaBpCZz0A1,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,American East,4 Weeks,6 Weeks,5/Week,2/Week
2020-04-27 20:09:43,2020-04-27 20:15:04,IP Address,100,321,True,2020-04-27 20:15:04,R_10Jm0xsvWwbEqqI,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Pac-12,6 Weeks,8+ Weeks,4/Week,5/Week
2020-04-28 18:48:36,2020-04-28 18:49:31,IP Address,100,55,True,2020-04-28 18:49:31,R_2uEfMWEsHzN2IjO,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,,,,,
2020-04-30 20:49:04,2020-04-30 20:51:03,IP Address,100,118,True,2020-04-30 20:51:03,R_1LqBC2QEJoYJqF7,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Pac-12,4 Weeks,6 Weeks,2/Week,3/Week
2020-05-01 09:18:15,2020-05-01 09:19:28,IP Address,100,72,True,2020-05-01 09:19:28,R_Ttqd6Vw6O2bZhlf,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,Big Ten,6 Weeks,8+ Weeks,3/Week,5/Week
2020-05-02 09:57:14,2020-05-02 09:59:17,IP Address,100,122,True,2020-05-02 09:59:17,R_79QHtTK54ZcP1e1,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Ohio Valley,4 Weeks,8+ Weeks,2/Week,4/Week
2020-05-02 18:57:36,2020-05-02 18:59:17,IP Address,100,101,True,2020-05-02 18:59:17,R_20MPob46mb9tRs5,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,Mid-Eastern Athletic,4 Weeks,6 Weeks,3/Week,5/Week
